spec_z,old_photo_z,u_cmodel_mag,u_cmodel_magerr,g_cmodel_mag,g_cmodel_magerr,r_cmodel_mag,r_cmodel_magerr,i_cmodel_mag,i_cmodel_magerr,z_cmodel_mag,z_cmodel_magerr,Y_cmodel_mag,Y_cmodel_magerr
0.184634998,0.76,nan,nan,18.456396327412918,0.0026770358243527657,17.94818828380915,0.000961439853095977,17.665276883446484,0.003168811489663012,17.22345540490968,0.005188304717996899,nan,nan
0.0997,0.61,nan,nan,18.65893775115794,0.0035907665257834454,17.722663720348464,0.00088993663976768,17.199540997666034,0.002429872371969979,16.831789682880704,0.003329359844035415,nan,nan
0.099502,0.16,nan,nan,18.063574730994482,0.0012291460987254128,17.131278840043013,0.0005212596483704616,16.71516589766497,0.0016701631854512847,16.45198096016736,0.0011825085351917445,nan,nan
0.2084,0.3,nan,nan,18.34444422088704,0.0020603835083546867,17.057003243071026,0.0005868171480511868,16.561860841721547,0.0016734287208902128,16.235295656663553,0.0013568108490389183,nan,nan
0.0895809978,0.15000000000000002,19.784724311724766,0.007292461390666202,18.553353776377456,0.0008692447607445967,17.829234458288887,0.0004908476327020089,17.451586553386022,0.0011361698751248598,17.223715892024114,0.001409345459765211,nan,nan
0.2115,0.28,19.999213695257094,0.014189106256685527,18.31310174708763,0.0022803173728396476,17.07379836508179,0.0005395250676214409,16.60274606147185,0.0011619891336915986,16.30330290257649,0.001163997632091369,nan,nan
0.1994,0.3,20.236427207538853,0.01037582137036552,18.56793235417209,0.0010005842743739583,17.29443338773784,0.0004549510160785478,16.811731783563907,0.0010076097632660647,16.500657116605264,0.0009813141221168735,nan,nan
0.1992,0.28,20.17891484684771,0.008749058632170497,18.56542409436354,0.0009178376660001606,17.323179542892564,0.0004192645481366198,16.87988931279707,0.0009733208711119528,16.57977420401105,0.000990176805351129,nan,nan
0.207043,0.25,20.114944437757824,0.008514962033276816,18.433641885231378,0.000924027402208221,17.13201307450281,0.00039217848309182444,16.637242317613495,0.0009544749426308923,16.31509500293188,0.0008771300430959081,nan,nan
0.116616003,0.16,19.92748941628172,0.007882438583541132,18.528981767306743,0.0009350661604749815,17.589057542651123,0.00042682715504640016,17.019584040123778,0.0010412514134045543,16.67181383082956,0.0011484342735911216,nan,nan
0.114729002,0.16,19.575352609104964,0.007252646568867058,18.350782334914687,0.0033086938971659116,17.478238438023677,0.00047509687703361494,17.03694743000128,0.0010565032671569759,16.722105961474146,0.0011078390395990291,nan,nan
0.114818998,0.15000000000000002,20.451070799856637,0.00772208313405478,18.880325433348215,0.0018353024019329177,17.88663055505842,0.00048115051205058174,17.4302228088621,0.0010479956666050656,17.163125212518608,0.0011177517554932497,nan,nan
0.209,0.17,19.235424968045386,0.007635490007142006,18.051269637012158,0.0031025809018605053,17.163091617537827,0.0005208674780269362,16.695962857398225,0.0011366863758524152,16.393728130628844,0.001334880260755943,nan,nan
0.2072,0.25,20.384345139999226,0.008952158559256967,18.78879593207055,0.0009800051676668894,17.595958194475187,0.00043138242201296376,17.166882247846512,0.0010117681190403907,16.91857177376669,0.0010504359834391038,nan,nan
0.149239004,0.15000000000000002,20.179951402231346,0.009257723873129474,18.579677876180888,0.0009320040889041233,17.53381769890276,0.0004911921271098187,17.117592631121745,0.0010206426920211396,16.83259151352473,0.0011171983859169104,nan,nan
0.207829997,0.27,20.29081160083929,0.008670591337638174,18.788661176352633,0.0012414058275943176,17.43124333770762,0.0006714815265670952,16.833580283409447,0.001117414893290341,16.57574576979614,0.0013624117568020611,nan,nan
0.134626,0.17,19.96483180873428,0.007746151493894936,18.300372761685654,0.0008395586687739238,17.24823421421721,0.0003893120623880436,16.789513337014863,0.0009503518696627429,16.49427874217375,0.0009155284362648759,nan,nan
0.1763,0.21000000000000002,20.273521043549355,0.010118323967645684,18.76368823568376,0.001281426029929128,17.621604592368488,0.000927128955432264,17.008025967140235,0.0012067313395259726,16.730579381411875,0.0015522421612109048,nan,nan
0.183002993,0.18000000000000002,19.844133997363162,0.008216966477320377,18.333225216435366,0.0009218703333428801,17.223322353198057,0.0004961330164401225,16.745261174841833,0.0009850559087834236,16.434629304500238,0.0009400622819959878,nan,nan
0.1637,0.26,19.950899583219098,0.009354308614914814,18.440882339517394,0.002442501016687759,17.255505797448226,0.0008940694933795419,16.799586573812032,0.0010528433768535984,16.50494056376253,0.0010709562871964793,nan,nan
0.132394999,0.17,19.2336867032771,0.007180657322549433,18.10388504986511,0.0018800451910734163,17.23820376622529,0.0007782616575833249,16.693192795757348,0.001121057143221094,16.453822368183882,0.001426785217865801,nan,nan
0.136961,0.19,19.844250732353366,0.009196947126319965,18.19757970289295,0.0008664201859199042,17.0824551420316,0.0006002508326357054,16.582789896946743,0.0009871061378163078,16.285708227306966,0.0010107797033456257,nan,nan
0.132226005,0.15000000000000002,20.144216581013065,0.009532078085107091,18.457873776912177,0.0009638260920139339,17.484793900730374,0.000647418716477976,16.98977842811869,0.0011483090620923327,16.717472338368825,0.0013554197537788274,nan,nan
0.185536996,0.19,19.76057878718833,0.007592714066318916,18.61649536740265,0.001142827586693503,17.693781497583092,0.0006281352563897508,17.29012891933863,0.001096879675582567,17.04233012775117,0.0014314679228948175,nan,nan
0.1474,0.17,19.61854081379646,0.00703273367310087,18.37214023290628,0.0007795463144724551,17.41834219348292,0.000585706038069836,16.960371521816583,0.001056463956348662,16.705390191741245,0.0012244650543036806,nan,nan
