spec_z,photo_z
0.15306,0.21
0.41180137,0.5
0.5962737,0.6900000000000001
0.78993,0.87
0.6281026,0.6900000000000001
0.55012,0.61
0.61609,0.66
0.584087,0.68
0.58756,0.74
0.52351075,0.53
0.1117,0.48
0.4908503,0.51
0.52556014,0.54
0.3512,0.16
0.78901,0.73
0.1528653,0.42
0.66187185,0.74
0.48861,0.75
0.3031386,1.41
0.15045306,0.6
0.44716,0.21
0.48251295,0.53
0.153279,0.29
0.59673476,0.62
0.6087114,0.61
0.616,0.48
0.350993,0.35
0.60985,0.54
0.54729,0.42
0.39424,0.32
0.61125875,0.65
0.4973255,0.53
0.49231,0.21
0.095471136,0.5800000000000001
0.6120738,0.54
0.13105115,0.16
0.07520635,0.09
0.076,0.16
0.5241831,0.54
0.63279,0.65
0.21729198,0.0699999999999999
0.74532,1.27
0.61153,0.13
0.0767,0.16
0.69365,0.72
0.73027396,0.5800000000000001
0.51995,0.27
0.6338,0.27
0.1502,0.56
0.074813835,0.73
0.92384,0.8
0.1502,0.12
0.6815,0.78
0.5198095,0.52
0.1504,0.09
0.34543285,0.37
0.26554292,0.27
0.591565,0.5700000000000001
0.2378,0.15
0.30543396,0.38
0.6166352,0.7100000000000001
0.57228976,0.53
0.574,0.44
0.10267463,0.0999999999999999
0.68453,0.8400000000000001
0.1527324,0.27
0.80978,0.65
0.46066922,0.4
0.15223925,0.26
0.28104,0.21
0.5697671,0.5700000000000001
0.15212408,0.19
0.7686,1.42
0.30139,0.29
0.15155074,0.16
0.61929744,0.56
0.5130649,0.5
0.07584582,0.09
0.030233359,0.15
0.61281514,0.59
0.78356,0.7100000000000001
0.031461272,0.01
0.07513702,0.0999999999999999
0.020187858,1.49
0.51085305,0.5
0.029699286,0.02
0.07509419,0.0999999999999999
0.028929552,0.03
0.04577396,0.16
0.18584542,0.26
0.3825602,0.39
0.089250654,0.15
0.08960315,0.04
0.88559633,0.51
0.082222894,0.11
0.5690784,0.5800000000000001
0.60472316,0.5800000000000001
0.6019344,0.5700000000000001
0.5973668,0.5800000000000001
0.1509339,0.74
0.5121621,0.52
0.57497823,0.5800000000000001
0.6835734,0.6
0.102252945,0.11
0.16066575,0.53
0.5754214,0.5700000000000001
0.023059754,0.16
0.029186191,0.16
0.10184055,0.48
0.13853803,0.63
0.16012199,0.43
0.26310354,0.28
0.07539642,0.08
0.50641257,0.5
0.045652542,0.17
0.019769,0.08
0.56891984,0.5700000000000001
0.045563605,0.73
0.35354713,0.42
0.43262777,0.4
0.4329393,0.45
0.75566906,0.74
0.0453450009,0.2
0.046313353,0.17
0.034334615,0.01
0.06314228,0.19
0.3236684,0.36
0.67493415,0.65
0.62028223,0.55
0.15300833,0.29
0.6857666,0.5700000000000001
0.13757877,0.19
0.23553163,0.49
0.6205293,0.56
0.33116114,0.38
0.50110114,0.51
0.35489473,0.35
0.17412068,0.31
0.36724022,0.27
0.2537196,0.47
0.23138607,0.45
0.35855386,0.47
0.06891202,0.7100000000000001
0.25371936,0.27
0.0630976,0.19
0.23172897,0.47
0.099616505,0.76
0.36696413,0.36
0.13334626,0.55
0.04580513,0.06
0.35929343,0.39
0.15207067,0.15
0.039627377,0.01
0.25438336,0.5
0.1422738,0.25
0.5150914,0.51
0.5169315,0.53
0.80519,0.7100000000000001
0.1424164,0.19
0.1415104,0.24
0.17369974,0.31
0.5344157,0.55
0.143667,0.18
0.46714193,0.46
0.1020535,0.17
0.12886384,0.5800000000000001
0.46461502,0.51
0.46376982,0.48
0.049572583,0.16
0.56873775,0.55
0.47036865,0.46
0.05013519,0.14
0.47044143,0.35
0.46231684,0.39
0.028546201,0.14
0.46504676,0.46
0.46782765,0.48
0.39028,0.35
0.13331383,0.0999999999999999
0.5523,0.35
0.71889,0.8200000000000001
0.38076583,0.38
0.34976363,0.36
0.71943,0.74
0.8095981,0.8300000000000001
0.35599,0.36
0.35556,0.28
0.1462,0.29
0.1441,0.24
0.3561,0.4
0.37199,0.4
0.2052,0.16
0.14400479,0.41
0.79695,0.32
0.55588,0.3
0.61932,0.36
0.07132,0.09
0.80762,0.76
0.054,0.41
0.81883615,0.8
0.35680693,0.35
0.35509628,0.5700000000000001
0.11306631,0.06
0.1727,0.12
0.3492119,0.37
0.35216781,0.36
0.23061262,0.4
0.07142476,0.22
0.1473,0.27
0.1462,0.24
0.1432,0.26
0.16783045,0.29
0.14357772,0.26
0.15037,0.5700000000000001
0.1443,0.13
0.35196623,0.31
0.301895,0.38
0.066362,0.14
0.20333,0.35
0.35570073,0.37
0.61545,0.47
0.16746134,0.29
1.07646,1.22
0.18486285,0.55
0.35562629,0.7000000000000001
0.50649,0.33
0.6174485,0.5
0.39876,0.35
0.15237,0.0999999999999999
0.0715,0.15
0.1036,0.22
0.2892,0.37
0.59195,0.72
0.3560473,0.38
0.1682925,0.34
0.1679,0.27
0.1266,0.22
0.1098,0.47
0.1093767,0.23
0.50382,0.4
0.94093,0.35
0.50189,0.46
0.1267,0.28
0.34739,0.31
0.26828,0.26
0.34280238,0.36
0.1698,0.7000000000000001
0.75125,0.66
0.59647,0.41
0.1678,0.51
0.37010852,0.39
0.2844068,0.34
0.0615,0.01
0.5431968,0.64
0.2582,0.22
0.28554437,0.3
0.0725,0.09
0.54349184,0.54
0.60124165,0.56
0.2134,0.21
0.45196584,0.5800000000000001
0.5456729,0.56
0.1524,0.29
0.61247,0.54
0.15245421,0.17
0.21215354,0.29
0.09588947,0.18
0.35182837,0.37
0.40428534,0.42
0.56805676,0.56
0.65524524,0.65
0.15224634,0.14
0.6114427,0.63
0.1514,0.02
0.025819,0.28
0.65376,0.12
0.129,0.0999999999999999
0.5092732,0.54
0.1022,0.12
0.61544377,0.55
0.07605052,0.04
0.15106946,0.12
0.35240716,0.36
0.076,0.08
0.5381992,0.49
0.60734916,0.7000000000000001
0.51279056,0.51
0.2670953,0.28
0.083002985,0.06
0.4827868,0.48
0.3130307,0.3
0.102529004,0.08
0.4017392,0.38
0.07575491,0.11
0.075665995,0.0699999999999999
0.07655894,0.17
0.07405236,0.11
0.07631338,0.18
0.076017305,0.06
0.07612371,0.11
0.16065878,0.28
0.40533954,0.4
0.61441475,0.59
0.379402,0.45
0.07636938,0.46
0.07598574,0.09
0.075998634,0.12
0.614807,0.56
0.44751105,0.45
0.16075452,0.17
0.33171538,0.34
0.5135834,0.5
0.08194689,0.12
0.076349825,0.0999999999999999
0.51480526,0.47
0.35838926,0.38
0.23101372,0.28
0.59183806,0.5700000000000001
0.39613435,0.4
0.55307764,0.61
0.07531709,0.08
0.075157575,0.0999999999999999
0.07400039,0.12
0.23302385,0.31
0.07551096,0.14
0.07466949,0.0999999999999999
0.4476625,0.45
0.33327132,0.33
0.4735608,0.46
0.07607591,0.03
0.33112177,0.32
0.33231857,0.35
0.6000718,0.5700000000000001
0.07715072,0.12
0.6501789,0.61
0.57563865,0.5800000000000001
0.081240155,0.13
0.5717638,0.54
0.7312404,0.73
0.63688636,0.62
0.64188457,0.74
0.07836266,0.01
0.07693723,0.04
0.07711271,0.0999999999999999
0.6879197,0.64
0.25407857,0.33
0.5596938,0.76
0.56051624,0.5800000000000001
0.077295735,0.0999999999999999
0.029841928,0.12
0.0819544,0.0999999999999999
0.076862164,0.02
0.080943525,0.12
0.08166655,0.18
0.35380772,0.36
0.07960733,0.2
0.04914013,0.15
0.3255806,0.34
0.6505007,0.72
0.8914965,0.8300000000000001
0.64773524,0.67
0.62471,0.61
0.18473,0.14
0.36528,0.38
0.36744276,0.36
0.3767704,0.39
0.3324259,0.32
0.099318996,0.12
0.67241126,0.56
0.23288,0.25
0.28389835,0.29
0.07685966,0.34
0.55911,0.42
0.07687955,0.04
0.075052574,0.14
0.2808665,0.28
0.07534666,0.21
0.07829515,0.0999999999999999
0.07728293,0.2
0.077524304,0.16
0.0777651,0.77
0.049523674,0.2
0.51730406,0.44
